Date;Flower;Color;Units Selection
01/10/2024 0:00;Alstroemeria;Burgundy;0
01/10/2024 0:00;Alstroemeria;DarkPink;11200
01/10/2024 0:00;Alstroemeria;Green;0
01/10/2024 0:00;Alstroemeria;Lavender;2400
01/10/2024 0:00;Alstroemeria;Orange;6000
01/10/2024 0:00;Alstroemeria;Peach;0
01/10/2024 0:00;Alstroemeria;Pink;11200
01/10/2024 0:00;Alstroemeria;Purple;3200
01/10/2024 0:00;Alstroemeria;Red;8800
01/10/2024 0:00;Alstroemeria;White;5200
01/10/2024 0:00;Alstroemeria;Yellow;0
01/10/2024 0:00;Carnation;Burgundy;2000
01/10/2024 0:00;Carnation;DarkPink;5300
01/10/2024 0:00;Carnation;Earth Tones;1000
01/10/2024 0:00;Carnation;Green;0
01/10/2024 0:00;Carnation;Lavender;2000
01/10/2024 0:00;Carnation;Mauve;500
01/10/2024 0:00;Carnation;Novelty Burgundy;1500
01/10/2024 0:00;Carnation;Novelty Lavender;500
01/10/2024 0:00;Carnation;Novelty Pink;1000
01/10/2024 0:00;Carnation;Novelty Purple;1500
01/10/2024 0:00;Carnation;Novelty Red;0
01/10/2024 0:00;Carnation;Novelty Yellow;1000
01/10/2024 0:00;Carnation;Orange;12500
01/10/2024 0:00;Carnation;Peach;2000
01/10/2024 0:00;Carnation;Peppermint;0
01/10/2024 0:00;Carnation;Pink;8000
01/10/2024 0:00;Carnation;Purple;4500
01/10/2024 0:00;Carnation;Red;10250
01/10/2024 0:00;Carnation;White;11000
01/10/2024 0:00;Carnation;Yellow;0
01/10/2024 0:00;Cocculus;Green;4200
01/10/2024 0:00;Cremon;Assorted;8000
01/10/2024 0:00;Cremon;Bronze;1770
01/10/2024 0:00;Cremon;Dark Bronze;900
01/10/2024 0:00;Cremon;Green;1310
01/10/2024 0:00;Cremon;Lavender;3540
01/10/2024 0:00;Cremon;Light Bronze;4640
01/10/2024 0:00;Cremon;Novelty Lavender;1500
01/10/2024 0:00;Cremon;Peach;1240
01/10/2024 0:00;Cremon;Pink;800
01/10/2024 0:00;Cremon;Red;330
01/10/2024 0:00;Cremon;White;4430
01/10/2024 0:00;Cremon;Yellow;7030
01/10/2024 0:00;Cushion;Assorted;8270
01/10/2024 0:00;Cushion;Bronze;3010
01/10/2024 0:00;Cushion;Cream;1511
01/10/2024 0:00;Cushion;Dark Bronze;5019
01/10/2024 0:00;Cushion;Earth Tones;823
01/10/2024 0:00;Cushion;Green;3200
01/10/2024 0:00;Cushion;Lavender;16276
01/10/2024 0:00;Cushion;Light Bronze;2484
01/10/2024 0:00;Cushion;Peach;4820
01/10/2024 0:00;Cushion;Pink;3100
01/10/2024 0:00;Cushion;Purple;2940
01/10/2024 0:00;Cushion;Red;2520
01/10/2024 0:00;Cushion;Tinted Assorted;11500
01/10/2024 0:00;Cushion;White;11007
01/10/2024 0:00;Cushion;Yellow;8935
01/10/2024 0:00;Daisy;Assorted;1750
01/10/2024 0:00;Daisy;Bicolor Bronze;16100
01/10/2024 0:00;Daisy;Bronze;9250
01/10/2024 0:00;Daisy;DarkPink;4651
01/10/2024 0:00;Daisy;Lavender;21032
