DueDate,Flower,Color_x,Stems_x,Color_y,Stems_y
2024-10-01,Daisy,Bicolor Bronze,10025,Assorted,1750
2024-10-01,Daisy,Bicolor Bronze,10025,Bicolor Bronze,16100
2024-10-01,Daisy,Bicolor Bronze,10025,Bronze,9250
2024-10-01,Daisy,Bicolor Bronze,10025,DarkPink,4651
2024-10-01,Daisy,Bicolor Bronze,10025,Lavender,21032
2024-10-01,Daisy,Bicolor Bronze,10025,Light Bronze,5650
2024-10-01,Daisy,Bicolor Bronze,10025,Novelty Lavender,18684
2024-10-01,Daisy,Bicolor Bronze,10025,Novelty Purple,720
2024-10-01,Daisy,Bicolor Bronze,10025,Novelty Yellow,3423
2024-10-01,Daisy,Bicolor Bronze,10025,Orange,950
2024-10-01,Daisy,Bicolor Bronze,10025,Peach,750
2024-10-01,Daisy,Bicolor Bronze,10025,Pink,2450
2024-10-01,Daisy,Bicolor Bronze,10025,Purple,17728
2024-10-01,Daisy,Bicolor Bronze,10025,Red,8180
2024-10-01,Daisy,Bicolor Bronze,10025,Tinted Assorted,15300
2024-10-01,Daisy,Bicolor Bronze,10025,White,28003
2024-10-01,Daisy,Bicolor Bronze,10025,Yellow,18833
2024-10-02,Daisy,Bicolor Bronze,26007,Assorted,1100
2024-10-02,Daisy,Bicolor Bronze,26007,Bicolor Bronze,13340
2024-10-02,Daisy,Bicolor Bronze,26007,Bronze,14780
2024-10-02,Daisy,Bicolor Bronze,26007,DarkPink,1080
2024-10-02,Daisy,Bicolor Bronze,26007,Lavender,1355
2024-10-02,Daisy,Bicolor Bronze,26007,Light Bronze,670
2024-10-02,Daisy,Bicolor Bronze,26007,Novelty Lavender,9420
2024-10-02,Daisy,Bicolor Bronze,26007,Novelty Purple,11580
2024-10-02,Daisy,Bicolor Bronze,26007,Novelty Yellow,7850
2024-10-02,Daisy,Bicolor Bronze,26007,Orange,1180
2024-10-02,Daisy,Bicolor Bronze,26007,Peach,1000
2024-10-02,Daisy,Bicolor Bronze,26007,Pink,1400
2024-10-02,Daisy,Bicolor Bronze,26007,Purple,12409
2024-10-02,Daisy,Bicolor Bronze,26007,Red,7700
2024-10-02,Daisy,Bicolor Bronze,26007,Tinted Assorted,15000
2024-10-02,Daisy,Bicolor Bronze,26007,White,26630
2024-10-02,Daisy,Bicolor Bronze,26007,Yellow,16400
2024-10-03,Daisy,Bicolor Bronze,5068,Bicolor Bronze,13060
